"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,25.0625,198.4375,405.875,553.75,606.75,616.25,586.5,598.75,612.25,562.25,404.5,185,21.7734375,0,0,0,0,0,0
0,0,0,0,0,13.9921875,98.34375,256.25,480.75,546.25,541.5,506.75,429.875,441,397.75,245,89.1875,9.67578125,0,0,0,0,0,0
0,0,0,0,0,15.73828125,90.96875,174.9375,261.125,363.25,424.875,425,456.5,542.25,425.125,255.125,117.625,13.32421875,0,0,0,0,0,0
0,0,0,0,0,12.0859375,88.53125,226.25,409.125,470.75,489,706.75,776.75,666.25,522,380.875,164.4375,19.4921875,0,0,0,0,0,0
0,0,0,0,0,10.97265625,77.125,197.3125,379.5,498.25,551.5,567.25,491.5,380,302.875,243.5625,121.71875,14.890625,0,0,0,0,0,0
0,0,0,0,0,9.33984375,69.78125,154.1875,244.4375,329.875,408.125,492.625,436.25,329.625,274.625,246.5625,131.0625,13.87890625,0,0,0,0,0,0
0,0,0,0,0,7.775390625,64.3125,143.1875,220.375,287.875,335,358.5,374.875,340.5,264.75,175.25,78.21875,8.0859375,0,0,0,0,0,0
0,0,0,0,0,15.00390625,113.25,243.25,371.25,484.125,579.5,611.25,643.5,627.5,474,259.875,108.59375,13.74609375,0,0,0,0,0,0
0,0,0,0,0,24.3203125,187.5,404.5,594.25,746.5,843.25,800.75,545.25,361.5,214.6875,130.0625,61.1875,7.9921875,0,0,0,0,0,0
0,0,0,0,0,26.2265625,190.6875,388.125,573.5,707.25,750.25,716.75,709.5,570.25,393,215.875,71.28125,5.265625,0,0,0,0,0,0
0,0,0,0,0,12.05859375,97.09375,230,378.875,523,626.75,637.5,594.75,513.5,376.375,237.1875,107.3125,11.55078125,0,0,0,0,0,0
0,0,0,0,0,17.3515625,169.0625,370,534.75,680,773,786,669,542.75,415,285.5,144.0625,13.046875,0,0,0,0,0,0
0,0,0,0,0,23.09375,189.625,397.125,560.75,611.25,681.75,661.75,596.5,446.25,310.375,167.25,58.3125,5.111328125,0,0,0,0,0,0
0,0,0,0,0,8.23046875,66.34375,141.1875,228.8125,327.375,394.5,424.375,412.125,364,280.75,193,103.15625,13.11328125,0,0,0,0,0,0
0,0,0,0,0,22.9296875,187.125,395.375,570.75,700.75,757.75,690.75,567.5,453.625,334.875,219.5625,127.28125,13.19921875,0,0,0,0,0,0
0,0,0,0,0,18.4375,117.09375,274.5,431.5,655.25,782.25,833.25,790.25,619.75,428.125,203.8125,86.40625,9.61328125,0,0,0,0,0,0
0,0,0,0,0,15.03125,123.3125,235.75,290.625,357.75,423,463.125,451.625,415.375,314.5,219.125,109.625,12.21484375,0,0,0,0,0,0
0,0,0,0,0,20.109375,182.625,403.875,562.25,540.25,478.375,465.25,532.75,625.25,521.75,306.375,143.8125,14.6796875,0,0,0,0,0,0
0,0,0,0,0,14.2890625,119.90625,279.25,446.5,551.75,646.5,573.25,483.75,400.25,295.375,179.4375,70.8125,5.5546875,0,0,0,0,0,0
0,0,0,0,0,16.125,136.3125,285.375,481.75,680.25,803.75,796.25,685.75,613.25,569.75,387.5,159.8125,15.10546875,0,0,0,0,0,0
0,0,0,0,0,8.77734375,79.5625,201.75,334.375,386.625,421.375,554.25,773.75,700,523.25,334.375,147.375,11.421875,0,0,0,0,0,0
0,0,0,0,0,12.859375,120.96875,320.25,503.5,611,597,606.5,619.5,588.75,436.375,267.625,109.40625,10.3203125,0,0,0,0,0,0
0,0,0,0,0,16.125,153.4375,326.75,462,570.5,635.5,653.5,603.75,548.5,423,245.25,104.65625,9.2265625,0,0,0,0,0,0
0,0,0,0,0,8.58203125,74.8125,181.4375,325.5,452.125,545,565.25,541.75,437,347.875,191.1875,69.40625,5.26171875,0,0,0,0,0,0
0,0,0,0,0,7.873046875,78.4375,204.8125,396.875,645.5,798,809.5,741,567,408,205.75,76.625,5.74609375,0,0,0,0,0,0
0,0,0,0,0,10.67578125,140,277,354.125,324.75,328.375,401.75,415.375,323.5,187.375,103.46875,35.859375,2.502929688,0,0,0,0,0,0
0,0,0,0,0,15.38671875,142.9375,341.875,528.75,595.75,559,494,379.125,304.5,179.5625,124.875,46.5,3.447265625,0,0,0,0,0,0
0,0,0,0,0,12.87890625,129.9375,299.75,450.375,559.5,608,616,524,379.125,291.75,186.75,70.46875,5.59765625,0,0,0,0,0,0
0,0,0,0,0,10.27734375,100.0625,281.75,478.5,646.25,702.5,684.5,600.75,452.5,295.25,185.0625,73,5.724609375,0,0,0,0,0,0
0,0,0,0,0,12.3125,115.1875,257.125,398.625,525.75,580,578.5,548.5,500.5,387.875,233.125,91.6875,7.134765625,0,0,0,0,0,0
0,0,0,0,0,7.68359375,77.28125,169.4375,266.375,317.625,331.125,357.5,348.75,288.875,228.25,167.625,71.4375,4.990234375,0,0,0,0,0,0
0,0,0,0,0,9.67578125,94.8125,226.75,336.75,406.5,449.5,456.25,429.625,371,264,163.8125,70.96875,5.400390625,0,0,0,0,0,0
0,0,0,0,0,6.396484375,70.9375,165.125,293.875,395.875,452.375,512,443.5,328.375,233.3125,133,54.203125,4.275390625,0,0,0,0,0,0
0,0,0,0,0,6.673828125,86.625,220.3125,415,600.5,746,806.5,796,691.75,521,325.625,138.0625,7.91015625,0,0,0,0,0,0
0,0,0,0,0,11.13671875,120.5625,223.625,342.25,475.75,613.25,735,750,639.75,503,325.5,125.0625,7.16796875,0,0,0,0,0,0
0,0,0,0,0,9.48046875,125.25,326.875,509.875,556.25,593.25,591.5,442.375,309.375,207.0625,119.03125,47.109375,2.635742188,0,0,0,0,0,0
0,0,0,0,0,5.814453125,73.125,178.9375,296.25,425.5,571,714.25,811.25,746.75,565.5,349.25,119.53125,6.55859375,0,0,0,0,0,0
0,0,0,0,0,11.81640625,150.6875,334.5,452.75,477.5,487.25,535.75,473,390,282.125,168,56.5625,2.908203125,0,0,0,0,0,0
0,0,0,0,0,10.0546875,132.875,353.25,540.5,689.75,756.5,713.75,555.75,379,218.125,121.6875,45.78125,2.436523438,0,0,0,0,0,0
0,0,0,0,0,10.26171875,132.1875,307.875,489.75,629,701.75,717,668,509.25,345.125,243.125,118.625,6.271484375,0,0,0,0,0,0
0,0,0,0,0,9.17578125,135.8125,318.875,499.75,636.5,737.75,764,721.75,617.75,483.5,317,114.28125,5.271484375,0,0,0,0,0,0
0,0,0,0,0,7.5859375,102.90625,231.25,388.625,508.5,558.75,448.75,318,246.5625,204.4375,136.8125,46.96875,2.077148438,0,0,0,0,0,0
0,0,0,0,0,4.94921875,77.03125,201.75,348,486,549.5,512.75,459.125,380.375,295.5,210,80.90625,3.921875,0,0,0,0,0,0
0,0,0,0,0,8.2734375,107.34375,240.25,372.375,500.875,601.75,659.25,678,629,495,308.625,116.59375,4.337890625,0,0,0,0,0,0
0,0,0,0,0,7.59765625,105.9375,266.625,467.375,652.5,741.5,757,684.75,537.25,384.125,240.125,95.09375,4.322265625,0,0,0,0,0,0
0,0,0,0,0,6.79296875,111.4375,257,391.625,521.5,604.25,650.5,638.25,533.75,373.125,225.4375,85.71875,3.846679688,0,0,0,0,0,0
0,0,0,0,0,3.78125,72.0625,203.9375,384.75,573.25,689,669.5,636.25,542.5,377.625,222.0625,94.5,3.9765625,0,0,0,0,0,0
0,0,0,0,0,7.21875,109.65625,266,458.875,673,763.75,801.75,773.25,681,519.5,327.75,114.09375,4.31640625,0,0,0,0,0,0
0,0,0,0,0,6.38671875,110.71875,272.875,416.375,496,561.25,617.25,674.75,589.25,443.5,207.1875,60.65625,2.659179688,0,0,0,0,0,0
0,0,0,0,0,6.720703125,107.375,313.75,552,717.25,822.5,855,792.5,598.5,317.375,175.9375,73.0625,3.34765625,0,0,0,0,0,0
0,0,0,0,0,9.44140625,166.3125,391.375,595.5,725.25,760.75,714.75,690.75,643.5,496.75,277.75,97.8125,3.703125,0,0,0,0,0,0
0,0,0,0,0,7.9375,142.3125,362.75,562.25,622,613.25,601.5,606,572,494.625,296.75,113.65625,4.828125,0,0,0,0,0,0
0,0,0,0,0,14.94921875,129.9375,280,410.125,514.5,590.5,630.75,603.5,508.625,369.625,232.0625,98.5,8.59375,0,0,0,0,0,0
0,0,0,0,0,12.828125,112.875,292,455.25,526,552.5,640,740.25,750.75,607.75,393.375,158.5625,12.546875,0,0,0,0,0,0
0,0,0,0,0,25.828125,184.6875,314.375,434.125,541.5,633.75,689.75,732.5,736.25,625.25,444.125,215.3125,24.0859375,0,0,0,0,0,0
0,0,0,0,0,14.87890625,138.5625,350.625,572.5,748,839.75,826,689.25,552,443.375,271.5,110.75,14.3515625,0,0,0,0,0,0
0,0,0,0,0,8.828125,78.375,224.0625,384.375,506,647.75,697,661.5,589.75,479.5,302.25,128.25,13.96484375,0,0,0,0,0,0
0,0,0,0,0,9.296875,66.59375,151.6875,241.125,308.375,353.375,375,356.75,308.875,251.25,186.125,89.3125,10.12890625,0,0,0,0,0,0
0,0,0,0,0,25.8046875,190.3125,266,354.75,487.125,617.75,695.5,706.25,576.75,403.5,216.875,87.96875,9.01171875,0,0,0,0,0,0
0,0,0,0,0,12.2109375,81.59375,180.4375,319.625,478.125,637.75,698.5,584.75,394.625,265.125,184.75,102.59375,16.109375,0,0,0,0,0,0
